Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE36043,"Leaf gene expression profile of rice during sunrise","Expression profiling by array","Oryza sativa;Oryza sativa Japonica Group",28,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36043/suppl",23180765;23180784,,"Yutaka Sato","Dec 03, 2012"
GSE36044,"Leaf gene expression profile of rice during sunset","Expression profiling by array","Oryza sativa;Oryza sativa Japonica Group",19,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36044/suppl",23180765;23180784,,"Yutaka Sato","Dec 03, 2012"
GSE37903,"Expression data from AK4 overexpression in CL1-0 lung cancer cell line and AK4 knockdown in CL1-5 lung cancer cell line","Expression profiling by array","Homo sapiens",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37903/suppl",23002211,,"Michael Hsiao","Dec 03, 2012"
GSE38475,"Transcriptome of dehydrated vs hydrated Salmonella cells","Expression profiling by array","Salmonella enterica;Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344",4,,,,22941081,,"Michael McClelland","Dec 03, 2012"
GSE38717,"Spatial Congregation of STAT Binding Directs Selective Nuclear Architecture During T Cell Functional Differentiation","Other","Mus musculus",18,,"PAIR;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38717/suppl",23212947,,"Myong-Hee Sung","Dec 03, 2012"
GSE39423,"Diurnal and circadian gene expression profile of root throughout the entire growth of rice in the field","Expression profiling by array","Oryza sativa;Oryza sativa Japonica Group",50,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39423/suppl",23180765;23180784,,"Yutaka Sato","Dec 03, 2012"
GSE39424,"Continuous gene expression profile of root at daytime throughout the entire growth of rice in the field","Expression profiling by array","Oryza sativa;Oryza sativa Japonica Group",14,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39424/suppl",23180765;23180784,,"Yutaka Sato","Dec 03, 2012"
GSE39425,"Continuous gene expression profile of root at nighttime throughout the entire growth of rice in the field","Expression profiling by array","Oryza sativa;Oryza sativa Japonica Group",14,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39425/suppl",23180765;23180784,,"Yutaka Sato","Dec 03, 2012"
GSE39426,"Gene expression profile of inflorescence at early developmental stage","Expression profiling by array","Oryza sativa;Oryza sativa Japonica Group",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39426/suppl",23180765;23180784,,"Yutaka Sato","Dec 03, 2012"
GSE39427,"Grain gene expression profile at early developmental stage","Expression profiling by array","Oryza sativa;Oryza sativa Japonica Group",34,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39427/suppl",23180765;23180784,,"Yutaka Sato","Dec 03, 2012"
GSE39429,"Rice global gene expression profile in response to plant hormones","Expression profiling by array","Oryza sativa;Oryza sativa Japonica Group",143,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39429/suppl",23180765;23180784,,"Yutaka Sato","Dec 03, 2012"
GSE39432,"Embryo and endosperm gene expression profile at ripening stage","Expression profiling by array","Oryza sativa;Oryza sativa Japonica Group",36,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39432/suppl",23180765;23180784,,"Yutaka Sato","Dec 03, 2012"
