Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE65146,"Expression data of caerulein-treated wild-type mice and KrasG12D-mutated mice at different stages of pancreatic regeneration after inflammatory injury","Expression profiling by array","Mus musculus",73,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65146/suppl",,,"Philipp Bruns","Jan 01, 2016"
GSE65246,"Expression profiling of E14 cells overexpressing Hk2/Pkm2","Expression profiling by high throughput sequencing","Mus musculus",5,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65246/suppl",26059508,SRP052789,"Hyunsoo Kim","Jan 01, 2016"
GSE65330,"A microRNA blueprint for early atrial remodeling in a porcine model of paroxysmal atrial fibrilation","Non-coding RNA profiling by array","Sus scrofa",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65330/suppl",,,"Mario Torrado","Jan 01, 2016"
GSE65378,"Selective coregulator function for different steroid receptors and restriction of steroid receptor chromatin occupancy by Hic-5 (ER)","Expression profiling by array","Homo sapiens",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65378/suppl",,,"Dai-Ying Wu","Jan 01, 2016"
GSE65401,"Selective coregulator function for different steroid receptors and restriction of steroid receptor chromatin occupancy by Hic-5 (GRγ)","Expression profiling by array","Homo sapiens",64,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65401/suppl",,,"Dai-Ying Wu","Jan 01, 2016"
GSE65417,"Expression data from C. elegans wild type, hlh-25 mutant and hlh-29 mutant strains","Expression profiling by array","Caenorhabditis elegans",9,,"CEL;CHP;RPT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65417/suppl",23533643;26438299,,"Han Ting Chou","Jan 01, 2016"
GSE65717,"Alternative RNA processing events in a double NSR mutant Arabidopsis","Expression profiling by high throughput sequencing","Arabidopsis thaliana",6,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65717/suppl",26849165,SRP053306,"souiai oussema","Jan 01, 2016"
GSE65797,"Expression profiling of small RNAs in developing wheat grains","Non-coding RNA profiling by high throughput sequencing","Triticum aestivum",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65797/suppl",26426440,SRP053424,"Tian Li","Jan 01, 2016"
GSE65798,"Degradome sequencing analysis in developing wheat grains","Other","Triticum aestivum",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65798/suppl",26426440,SRP053425,"Tian Li","Jan 01, 2016"
GSE65799,"Small RNA and degradome sequencing reveal complex roles of miRNAs and their targets in the developing grains of wheat (Triticum aestivum L.)","Non-coding RNA profiling by high throughput sequencing;Other","Triticum aestivum",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65799/suppl",26426440,,"Tian Li","Jan 01, 2016"
GSE65806,"Gene expression profile in CD4+ T-cell infection with a SIV mutant related to altered humoral immune responses","Expression profiling by array","Homo sapiens",9,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65806/suppl",,,"Hiroyuki Yamamoto","Jan 01, 2016"
GSE65839,"Effects of Morus alba L. (Mulberry) Leaf Extract in Hypercholesterolemic Mice on Suppression of Cholesterol Synthesis","Expression profiling by array","Mus musculus",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65839/suppl",,,"Yukihiro Kobayashi","Jan 01, 2016"
GSE66073,"Gene expression of APJ deficient endothelial cell","Expression profiling by array","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66073/suppl",25920569,,"Hiroyasu Kidoya","Jan 01, 2016"
GSE66264,"Myelodysplastic syndrome: NUP98-HoxD13 (NHD13) expression effect on hematopoietic stem cells","Expression profiling by high throughput sequencing","Mus musculus",6,,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66264/suppl",26742432,SRP055478,"David Richard Powell","Jan 01, 2016"
GSE66266,"Expression profling of Arabidopsis  sto2 mutant","Expression profiling by array","Arabidopsis thaliana",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66266/suppl",26243618,,"Staffan Persson","Jan 01, 2016"
GSE66997,"Global transcriptome responses of a marine diatom to phosphate fluctuations provides insights into its ecological success","Expression profiling by high throughput sequencing","Phaeodactylum tricornutum",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66997/suppl",26680538,SRP056249,"Nam-Hai Chua","Jan 01, 2016"
GSE67058,"NusA-dependent Transcription Termination Prevents Global Misregulation of Gene Expression","Expression profiling by high throughput sequencing","Bacillus subtilis",12,,"BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67058/suppl",27571753,SRP056317,"Paul Babitzke","Jan 01, 2016"
GSE67129,"Establishment and miRNA expression characterization of a canine mammary gland tumor cell line","Non-coding RNA profiling by array","Canis lupus familiaris;synthetic construct",2,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67129/suppl",,,"Tomohiro Osaki","Jan 01, 2016"
GSE67788,"Transcriptional analysis of apoptotic cerebellar granule neurons following rescue by Gip, Sp, Pacap and Igf1","Expression profiling by array","Rattus norvegicus",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67788/suppl",,,"Sebastiano Cavallaro","Jan 01, 2016"
GSE67790,"Smyd3 is a transcriptional potentiator of multiple cancer-promoting genes and required for liver or colon cancer development","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",24,,"BED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67790/suppl",26908355,SRP057101,"Iannis Talianidis","Jan 01, 2016"
GSE67946,"small RNAseq in donor BMDCs and BMDCs that received exosomes","Non-coding RNA profiling by high throughput sequencing","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67946/suppl",,SRP057243,"Ryan O'Connell","Jan 01, 2016"
GSE67963,"Widespread RNA Binding by Chromatin Associated Proteins","Expression profiling by high throughput sequencing;Other;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",79,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67963/suppl",26883116,SRP057268,"David R Kelley","Jan 01, 2016"
GSE67991,"RNA seq of pancreatic islets isolated from free fatty acid receptor 3 knockout (Ffar3 KO) and wildtype (Ffar3 WT) male mice","Expression profiling by high throughput sequencing","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67991/suppl",26091414,SRP057302,"Brian Layden","Jan 01, 2016"
GSE68038,"Comparison of cultured chondrocytes from knee and proximal interphalangeal joints","Expression profiling by array","Homo sapiens",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68038/suppl",26773445,,"Karin Wagner","Jan 01, 2016"
GSE68265,"Dissection of the translational impacts of the PERK pathway","Expression profiling by high throughput sequencing","Mus musculus",120,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68265/suppl",,SRP057991,"David Reid","Jan 01, 2016"
GSE68270,"Lysophosphatidic acid receptor expression identifies a pure population of adult hippocampal stem cells with an immune cell-related transcriptional profile","Expression profiling by high throughput sequencing","Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68270/suppl",27050949,SRP057672,"Gerd Kempermann","Jan 01, 2016"
GSE68536,"H3K27me3 profiles along the length of the  X chromosome in trophoblast stem (TS) cells showing inverted X-inactivation profiles, ChIP-chip","Genome binding/occupancy profiling by genome tiling array;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",6,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68536/suppl",26628922,,"Celine Morey","Jan 01, 2016"
GSE68574,"A probabilistic generative model for quantification of DNA modifications enables analysis of demethylation pathways [mESCs]","Methylation profiling by high throughput sequencing","Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68574/suppl",26975309,SRP058011,"Tarmo Äijö","Jan 01, 2016"
GSE68575,"A probabilistic generative model for quantification of DNA modifications enables analysis of demethylation pathways [T-cells]","Methylation profiling by high throughput sequencing","Mus musculus",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68575/suppl",26975309,SRP058012,"Tarmo Äijö","Jan 01, 2016"
