Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE57369,"The chromatin modifier CHD8 targets autism risk genes during human neurodevelopment ","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",26,,"BAM;BED;BW;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57369/suppl",25752243,SRP041738,"Justin Cotney","Jan 21, 2015"
GSE60277,"Transcript profiling of seven tissues in P. glauca","Expression profiling by array","Picea glauca;Picea sitchensis",56,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60277/suppl",,,"John MacKay","Jan 21, 2015"
GSE60590,"Dynamics of the human skeletal muscle transcriptome in response to exercise training - part 1","Expression profiling by high throughput sequencing","Homo sapiens",33,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60590/suppl",25484259,SRP045666,"Joakim Lundeberg","Jan 21, 2015"
GSE60986,"A transcriptomic analysis of Neurospora crassa using five major crop residues and the novel role of the sporulation regulator rca-1 in lignocellulase production","Expression profiling by high throughput sequencing","Neurospora crassa OR74A",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60986/suppl",25691917,SRP045980,"Bang Wang","Jan 21, 2015"
GSE61805,"Characterization of protoporphytin IX effects on X-ray irradiation in Hela cells in vitro","Expression profiling by array","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61805/suppl",27600211;26484254,,"Junko Takahashi","Jan 21, 2015"
GSE61822,"Neurocognitive impairment at 18-24 months in children born preterm may originate in utero: a microarray study","Expression profiling by array","Homo sapiens",28,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61822/suppl",,,"Adi Tarca","Jan 21, 2015"
GSE61954,"FASCIATED EAR4 encodes a bZIP transcription factor that controls shoot meristem size in maize","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Zea mays",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61954/suppl",25616871,SRP048564,"Andrea L Eveland","Jan 21, 2015"
GSE63539,"GATA2 facilitates steroid receptor coactivator (SRC) recruitment to the androgen receptor (AR) complex","Expression profiling by array","Homo sapiens",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63539/suppl",25489091,,"Nicholas Mitsiades","Jan 21, 2015"
GSE63902,"Toxicogenomics profiling of bone marrow from rats treated with topotecan in combination with oxaliplatin: a mechanistic strategy to inform combination toxicity.","Expression profiling by array","Rattus norvegicus",93,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63902/suppl",25729387,,"Myrtle Davis Millin","Jan 21, 2015"
GSE64044,"Transcriptome Analysis of Populus x canadensis in Response to Drought Stress","Expression profiling by high throughput sequencing","Populus x canadensis",12,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64044/suppl",,SRP051042,"Elena Barghini","Jan 21, 2015"
