Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE35915,"Transcription factor Ebf1 regulates differentiation stage-specific signaling, proliferative expansion and survival of B cells","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",4,,"BED;BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35915/suppl",22431510,,"Sebastian Pott","Apr 03, 2012"
GSE36061,"Microarray analysis to identify genes that are differentially expressed in resting and in LPS-activated splenic B cells of Ebf1+/fl-RERTCre and Ebf1fl/fl-RERTCre mice","Expression profiling by array","Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36061/suppl",22431510,,"Soeren Boller","Apr 03, 2012"
GSE36967,"Affymetrix SNP 6.0 profiles of 10 Human B-NHL lines","Genome variation profiling by SNP array","Homo sapiens",10,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36967/suppl",22722845,,"Claudio Scuoppo","Apr 03, 2012"
GSE36968,"AMPKα Modulation in Cancer Progression: Multilayer Integrative Analysis of the Whole Transcriptome in Asian Gastric Cancer","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",55,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36968/suppl",22434430;25410163,SRP012016,"Han Liang","Apr 03, 2012"
GSE36987,"PAPD5, a noncanonical poly(A) polymerase with an unusual RNA-binding motif [PAR-CLIP]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36987/suppl",21788334,SRP012025,"Biter Bilen","Apr 03, 2012"
GSE37014,"PFT1, the MED25 subunit of the plant Mediator complex, promotes flowering through CONSTANS dependent and independent mechanisms in Arabidopsis","Expression profiling by array","Arabidopsis thaliana",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37014/suppl",21985558,,"Sabrina Iñigo","Apr 03, 2012"
GSE37022,"Genome-Wide Analysis of Acute Myeloid Leukemia Reveals Leukemia-Specific Methylome and Subtype-Specific Hypomethylation of Repeats","Methylation profiling by high throughput sequencing;Expression profiling by array","Homo sapiens",22,,"GFF;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37022/suppl",22479372,,"Jacek Dariusz Marzec","Apr 03, 2012"
GSE25934,"Proliferation of mouse thyroid cells after partial thyroidectomy","Expression profiling by array","Mus musculus",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25934/suppl",22454152,,"Tsutomu Matsubara","Apr 02, 2012"
GSE28314,"Genome-wide study of DNA methylation in AML by MeDIP-seq","Methylation profiling by high throughput sequencing","Homo sapiens",16,,"GFF;TXT;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28314/suppl",22479372,SRP007961,"Jacek Dariusz Marzec","Apr 02, 2012"
GSE28416,"Expression data from mouse embryo fibroblast (MEFS)","Expression profiling by array","Mus musculus",28,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28416/suppl",,,"Simone Paolo Minardi","Apr 02, 2012"
GSE28417,"Expression data from mouse tissues","Expression profiling by array","Mus musculus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28417/suppl",,,"Simone Paolo Minardi","Apr 02, 2012"
GSE28418,"Expression data from mouse tissues and MEFs: insights into the physiological activation of p53-p66Shc pathway","Expression profiling by array","Mus musculus",40,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28418/suppl",,,"Simone Paolo Minardi","Apr 02, 2012"
GSE28564,"Global gene expression analysis of normal and ripening inhibitor (rin) mutant tomatoes during ripening","Expression profiling by array","Solanum lycopersicum",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28564/suppl",22160566,,"Yasuhiro Ito","Apr 02, 2012"
GSE29761,"Exposure of pregnant mice to carbon black by intratracheal instillation: toxicogenomics effects in dams and offspring (dams samples)","Expression profiling by array","Mus musculus",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29761/suppl",22001195,,"Andrew Williams","Apr 02, 2012"
GSE29762,"Exposure of pregnant mice to carbon black by intratracheal instillation: toxicogenomics effects in dams and offspring (offspring samples)","Expression profiling by array","Mus musculus",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29762/suppl",22001195,,"Andrew Williams","Apr 02, 2012"
GSE29764,"Exposure of pregnant mice to carbon black by intratracheal instillation: toxicogenomics effects in dams and offspring","Expression profiling by array","Mus musculus",38,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29764/suppl",22001195,,"Andrew Williams","Apr 02, 2012"
GSE29912,"The effect of GW3965 and dexamethasone on gene expression of rat livers","Expression profiling by array","Rattus norvegicus",8,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29912/suppl",22457708,,"Tomoshige Kino","Apr 02, 2012"
