Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE55648,"Transcriptome study of A. fumigatus hyphae and human neutrophils","Expression profiling by high throughput sequencing","Aspergillus fumigatus CEA10",28,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55648/suppl",,SRP039496,"Joerg Linde","Jan 31, 2018"
GSE64932,"Transcriptome study of colon epithelial cells in Reg3a-transgenic mice","Expression profiling by array","Mus musculus",35,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64932/suppl",,,"christophe desterke","Jan 31, 2018"
GSE66063,"An integrated analysis of phosphorus starvation responses in the diatom Pheaodactylum tricornutum","Expression profiling by array","Phaeodactylum tricornutum",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66063/suppl",,,"Per Winge","Jan 31, 2018"
GSE69157,"RNA-Sequencing experiment for effects of PKF115-584 treatment on four T-ALL cell lines (RPMI8402, HPB-ALL, Jurkat, CCRF-CEM).","Expression profiling by high throughput sequencing","Homo sapiens",8,,"FPKM_TRACKING","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69157/suppl",27125305,SRP058619,"Christos Gekas","Jan 31, 2018"
GSE71821,"Allergic Airway Disease is Dependent on Methylene-Tetrahydrofolate Reductase (Bisulfite-Seq)","Methylation profiling by high throughput sequencing","Mus musculus",29,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71821/suppl",,SRP062143,"Kenneth Eyring","Jan 31, 2018"
GSE71822,"Allergic Airway Disease is Dependent on Methylene-Tetrahydrofolate Reductase (expression)","Expression profiling by array","Mus musculus",25,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71822/suppl",,,"Kenneth Eyring","Jan 31, 2018"
GSE71823,"Allergic Airway Disease is Dependent on Methylene-Tetrahydrofolate Reductase","Expression profiling by array;Methylation profiling by high throughput sequencing","Mus musculus",54,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71823/suppl",,,"Kenneth Eyring","Jan 31, 2018"
GSE74556,"Sequential ligand-dependent Notch signaling activation regulates valve primordium formation and morphogenesis","Expression profiling by high throughput sequencing","Mus musculus",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74556/suppl",,SRP065571,"Jose Luis de la Pompa","Jan 31, 2018"
GSE76667,"Domestication of flor yeast: Rewiring the map kinase signaling pathway for lifestyle switching","Expression profiling by array","Saccharomyces cerevisiae",6,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76667/suppl",,,"Jean-Luc Legras","Jan 31, 2018"
GSE76901,"mRNA sequencing in cde-1 mutants versus WT C. elegans infected by the Orsay virus","Expression profiling by high throughput sequencing","Caenorhabditis elegans",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76901/suppl",,SRP068497,"Charles Bradshaw","Jan 31, 2018"
GSE77130,"Expression data from rice stem bases in two different genotypes","Expression profiling by array","Oryza sativa",4,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77130/suppl",,,"Pascal Gantet","Jan 31, 2018"
GSE78743,"DNA methylation mediates the association of prenatal adversity with risk factors for metabolic disease.","Methylation profiling by genome tiling array","Homo sapiens",152,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78743/suppl",,,"Roderick Slieker","Jan 31, 2018"
GSE82183,"Next Generation Sequencing Facilitates Quantitative Analysis of human patient derived primary Glioblastoma (GBM) cancer cell Transcriptomes","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82183/suppl",,SRP076036,"Biplab Dasgupta","Jan 31, 2018"
GSE83269,"Effects of fosfomycin on biofilm of a clinical Staphylococcus aureus isolated from osteoarticular infection by transcriptomal approach","Expression profiling by high throughput sequencing","Staphylococcus aureus",12,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83269/suppl",,SRP076463,"Christiane Forestier","Jan 31, 2018"
GSE84012,"Implication of VSMC heterogeneity among arterial beds in vascular calcification","Expression profiling by array","Homo sapiens",10,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84012/suppl",,,"Marja Steenman","Jan 31, 2018"
GSE85826,"Becoming monogamous quickly: Adaptive evolution of a pallidal enhancer at the prairie vole Avpr1a locus","Genome binding/occupancy profiling by high throughput sequencing","Microtus ochrogaster",2,,"BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85826/suppl",,SRP082396,"Alejandro Berrio","Jan 31, 2018"
GSE86247,"Regeneration of functional human respiratory epithelium by transplantation of expandable Sox9+ Basal Cell","Expression profiling by high throughput sequencing","Homo sapiens",4,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86247/suppl",,SRP083771,"wei zuo","Jan 31, 2018"
GSE87624,"Next-gen RNA sequencing of human osteosarcoma tumors","Expression profiling by high throughput sequencing","Homo sapiens",52,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87624/suppl",,SRP090849,"Nuri Alpay Temiz","Jan 31, 2018"
GSE87685,"Next-gen RNA sequencing of mouse osteosarcoma tumors","Expression profiling by high throughput sequencing","Mus musculus",103,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87685/suppl",,SRP090923,"Nuri Alpay Temiz","Jan 31, 2018"
GSE87686,"Cross species transcriptome analysis of osteosarcoma","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",155,,,,,,"Nuri Alpay Temiz","Jan 31, 2018"
GSE87853,"Insulin resistance in 3T3-L1 adipose cells","Expression profiling by array","Mus musculus",11,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87853/suppl",,,"Rima Chaudhuri","Jan 31, 2018"
GSE87854,"Insulin resistance in high fat diet mouse (adipose)","Expression profiling by array","Mus musculus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87854/suppl",,,"Rima Chaudhuri","Jan 31, 2018"
GSE91069,"DNA methylation patterns separate senescence from malignant transformation potential in human cells [methylation]","Methylation profiling by array","Homo sapiens",31,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91069/suppl",,,"Wenbing Xie","Jan 31, 2018"
GSE91070,"DNA methylation patterns separate senescence from malignant transformation potential in human cells [gene expression]","Expression profiling by array","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91070/suppl",,,"Wenbing Xie","Jan 31, 2018"
GSE91071,"DNA methylation patterns separate senescence from malignant transformation potential in human cells","Expression profiling by array;Methylation profiling by array","Homo sapiens",39,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91071/suppl",,,"Wenbing Xie","Jan 31, 2018"
GSE92241,"RNA Sequencing Facilitates Quantitative Analysis of Transcriptomes of human early hematopoietic differentiation","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92241/suppl",,SRP094924,"Jiaxi Zhou","Jan 31, 2018"
GSE92243,"RNA Sequencing Facilitates Quantitative Analysis of Wild Type and MEIS1 deleted H1 drived cells at day3 of hematopoietic differentiation","Expression profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92243/suppl",,SRP094925,"Jiaxi Zhou","Jan 31, 2018"
GSE92244,"RNA Sequencing Facilitates Quantitative Analysis of Wild Type and MEIS1 deleted H1 drived cells at day6 of megakaryocytic differentiation","Expression profiling by high throughput sequencing","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92244/suppl",,SRP094926,"Jiaxi Zhou","Jan 31, 2018"
GSE92245,"MEIS1 regulates hematopoiesis in hPSCs","Expression profiling by high throughput sequencing","Homo sapiens",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92245/suppl",,,"Jiaxi Zhou","Jan 31, 2018"
GSE92729,"Gene expression analysis of the inflorescence of 35S::SUP-GR after Mock and DEX treatment","Expression profiling by array","Arabidopsis thaliana",6,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92729/suppl",,,"Yifeng XU","Jan 31, 2018"
GSE92917,"Transcriptional profile in human S. haematobium infection","Expression profiling by high throughput sequencing","Homo sapiens",14,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92917/suppl",,SRP095674,"Makedonka Mitreva","Jan 31, 2018"
GSE93200,"Gene expression profile in response to NGG1 deletion during filament formation in Spider medium","Expression profiling by array","Candida albicans",3,,"LSR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93200/suppl",,,"Dedong Li","Jan 31, 2018"
GSE93205,"Genetic variants associated with development of pseudoexfoliation syndrome","Genome variation profiling by SNP array","Homo sapiens",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93205/suppl",,,"Krzysztof Goryca","Jan 31, 2018"
GSE93647,"Expression data from patients with HCC receiving Nivolumab","Expression profiling by array","Homo sapiens",2,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93647/suppl",,,"Josep Maria Llovet","Jan 31, 2018"
GSE93892,"ErbB2/c-Src axis Drives Mammary Tumorigenesis via Metabolic Reprogramming and Translational Upregulation of Polycomb Repressor Complex 2","Expression profiling by array","Mus musculus",8,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93892/suppl",,,"Harvey Wilmore Smith","Jan 31, 2018"
GSE93933,"Methylome analysis of non syndromic cleft lip and palate in comparison to control samples","Methylation profiling by genome tiling array","Homo sapiens",126,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93933/suppl",,,"Lucas Alvizi","Jan 31, 2018"
GSE94332,"mRNA expression profile of Lymphocytes by high-throuput sequencing","Expression profiling by high throughput sequencing","Homo sapiens",18,,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94332/suppl",,SRP098645,"Akira Watanabe","Jan 31, 2018"
GSE94353,"Hepatocyte maturation","Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",17,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94353/suppl",,,"Srikumar Sengupta","Jan 31, 2018"
GSE96068,"The RFX transcription factor gene, daf-19, has dual funcitons in ciliated and non-ciliated neurons","Expression profiling by array","Caenorhabditis elegans",14,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96068/suppl",,,"Prasad Phirke","Jan 31, 2018"
GSE98441,"Removal of hydrogenase genes from Methanosarcina barkeri reveals features of its branched hydrogen-dependent and -independent electron transport pathways","Expression profiling by high throughput sequencing","Methanosarcina barkeri str. Fusaro",27,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98441/suppl",,SRP106039,"William W Metcalf","Jan 31, 2018"
GSE98484,"Enhancer of Polycomb maintains germline activity and genome integrity in Drosophila testis","Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster",4,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98484/suppl",,SRP106147,"Xin Chen","Jan 31, 2018"
GSE99497,"Estradiol and ICI 182,780 infusions induce similar transcriptomic response in late gestation fetal hypothalamus","Expression profiling by array","Ovis aries",19,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99497/suppl",,,"Maria Belen Rabaglino","Jan 31, 2018"
GSE99608,"The pesticide fipronil affects transcriptional networks related to mitochondrial dysfunction and methylation in zebrafish embryos (Danio rerio)","Expression profiling by array","Danio rerio",23,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99608/suppl",,,"Christopher Martyniuk","Jan 31, 2018"
GSE100216,"PKCα-LSD1-NF-κB Signaling Cascade Is Crucial for Epigenetic Control of the Inflammatory Response [RNA-Seq]","Expression profiling by high throughput sequencing","Mus musculus",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100216/suppl",,SRP109693,"Dongha Kim","Jan 31, 2018"
GSE100546,"Defining the responses governing disease tolerance during Citrobacter rodentium infection of mice by deep RNA sequencing","Expression profiling by high throughput sequencing","Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100546/suppl",,SRP110594,"Samantha Gruenheid","Jan 31, 2018"
