Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE70722,"De novo DNA methyltransferases DNMT3A and DNMT3B are essential of global DNA methylation maintenance [TAB-Seq]","Methylation profiling by high throughput sequencing","Mus musculus",7,,"BEDGRAPH","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70722/suppl",27237052,SRP060646,"Hendrik G Stunnenberg","Jun 03, 2016"
GSE70724,"Impairment of DNA methylation maintenance is the main cause of global demethylation in naïve ES cells","Expression profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Mus musculus",21,,"BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70724/suppl",27237052,,"Hendrik G Stunnenberg","Jun 03, 2016"
GSE71674,"A Co-repressor CBFA2T2 regulates pluripotency and germline development [RNA-seq]","Expression profiling by high throughput sequencing","Mus musculus",9,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71674/suppl",27281218,SRP061948,"Danny Reinberg","Jun 03, 2016"
GSE71675,"A Co-repressor CBFA2T2 regulates pluripotency and germline development [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",9,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71675/suppl",27281218,SRP061949,"Danny Reinberg","Jun 03, 2016"
GSE75462,"Ribosome quality control is a central protection mechanism for yeast exposed to Deoxynivalenol and Trichothecin","Expression profiling by array","Saccharomyces cerevisiae",23,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75462/suppl",27245696,,"Christoph Schüller","Jun 03, 2016"
GSE75792,"TT-Seq captures the human transient transcriptome","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",12,,"GTF;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75792/suppl",27257258,SRP067119,"Björn Schwalb","Jun 03, 2016"
GSE76100,"Patient-derived xenografts from pediatric liver cancer predict tumor recurrence and advise clinical management","Genome variation profiling by SNP array;Genome variation profiling by genome tiling array","Homo sapiens",20,,"CEL;CYCHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76100/suppl",27115099,,"Carolina Armengol","Jun 03, 2016"
GSE76284,"Towards therapeutic application of pronuclear transfer to prevent transmission of mitochondrial DNA disease","Expression profiling by high throughput sequencing","Homo sapiens",94,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76284/suppl",27281217,SRP068190,"Kathy Niakan","Jun 03, 2016"
GSE76439,"CTCF contributes in a critical way to spermatogenesis and male fertility","Expression profiling by array","Mus musculus",7,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76439/suppl",27345455,,"Abrahan Hernández-Hernández","Jun 03, 2016"
GSE76642,"Establishing Chromatin Regulatory Landscape during Mouse Preimplantation Development","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",37,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76642/suppl",27259149,SRP068205,"Yuting Liu","Jun 03, 2016"
GSE79923,"RNA-sequencing time course of Human Intestinal Epithelial Cells (HIECs) following knockdown of miR-30bcd using complementary locked nucleic acids","Expression profiling by high throughput sequencing","Homo sapiens",18,,"CSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79923/suppl",27261459,SRP072864,"Bailey Peck","Jun 03, 2016"
GSE80427,"Identification of a novel PPARβ/δ / miR-21-3p axis in UV-induced skin inflammation [mouse mRNA]","Expression profiling by array","Mus musculus",16,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80427/suppl",27250636,,"Mark Ibberson","Jun 03, 2016"
GSE80428,"Identification of a novel PPARβ/δ / miR-21-3p axis in UV-induced skin inflammation [mouse miRNA]","Non-coding RNA profiling by array","Mus musculus",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80428/suppl",27250636,,"Mark Ibberson","Jun 03, 2016"
GSE80429,"Identification of a novel PPARβ/δ / miR-21-3p axis in UV-induced skin inflammation [human mRNA]","Expression profiling by array","Homo sapiens",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80429/suppl",27250636,,"Mark Ibberson","Jun 03, 2016"
GSE80430,"Identification of a novel PPARβ/δ / miR-21-3p axis in UV-induced skin inflammation [human miRNA-seq]","Non-coding RNA profiling by high throughput sequencing","Mus musculus",27,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80430/suppl",27250636,SRP073492,"Mark Ibberson","Jun 03, 2016"
GSE80431,"Identification of a novel PPARβ/δ / miR-21-3p axis in UV-induced skin inflammation","Expression profiling by array;Non-coding RNA profiling by array;Non-coding RNA profiling by high throughput sequencing","Homo sapiens;Mus musculus",65,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80431/suppl",27250636,,"Mark Ibberson","Jun 03, 2016"
GSE82108,"Differentially expressed genes after miRNA or siRNA transfection in human cancer cell lines (III)","Expression profiling by array","Homo sapiens",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82108/suppl",27633630;27862697;29115582,,"Naohiko Seki","Jun 03, 2016"
GSE82155,"Novel gene-pathway identification during the development of human epicardial fat through early life","Expression profiling by array","Homo sapiens",46,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82155/suppl",27699231,,"Hernan Pablo Fainberg","Jun 03, 2016"
GSE82159,"Expression data of lymphoblastoid B-cell line (LCL), T-cell, dermal fibroblast (DF), and iPSCs established from them.","Expression profiling by array","Homo sapiens",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82159/suppl",27716287,,"Koki Fujimori","Jun 03, 2016"
GSE82179,"Ornithine decarboxylase is sufficient for prostate tumorigenesis via androgen receptor signaling","Expression profiling by array","Homo sapiens",6,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82179/suppl",,,"Weijia Zhang","Jun 03, 2016"
GSE82188,"Gene expression analysis of cardiac-specific calreticulin transgenic mice","Expression profiling by array","Mus musculus",6,,"PAIR;TXT;XYS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82188/suppl",27441395,,"Marek Michalak","Jun 03, 2016"
GSE82218,"Whole genome transcription and DNA methylation analysis of peripheral blood mononuclear cells identified aberrant gene regulation pathways in systemic lupus erythematosus [metylation]","Methylation profiling by genome tiling array","Homo sapiens",55,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE82nnn/GSE82218/suppl",,,"yun lian","Jun 03, 2016"
GSE82221,"Whole genome transcription and DNA methylation analysis of peripheral blood mononuclear cells identified aberrant gene regulation pathways in systemic lupus erythematosus","Expression profiling by array;Methylation profiling by genome tiling array","Homo sapiens",110,,,,,,"yun lian","Jun 03, 2016"
GSE60096,"Expression data from wildtype and Dicer-deficient mouse embryonic stem (ES) cells at different stages of the cell cycle.","Expression profiling by array","Mus musculus",5,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60096/suppl",27150236,,"Gopuraja Dharmalingam","Jun 02, 2016"
GSE60160,"MicroRNAs maintain bivalency in mouse embryonic stem cells [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",4,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60160/suppl",27150236,SRP045304,"Gopuraja Dharmalingam","Jun 02, 2016"
GSE60161,"MicroRNAs maintain bivalency in mouse embryonic stem cells","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",9,,"BW;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60161/suppl",27150236,,"Gopuraja Dharmalingam","Jun 02, 2016"
GSE65311,"Transcriptional responses of Fusarium graminearum when exposed to bacterial MAMPs","Expression profiling by high throughput sequencing","Fusarium graminearum PH-1",54,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65311/suppl",27172188,SRP052835,"Stefan Olsson","Jun 02, 2016"
GSE68046,"A novel bivalent chromatin state exists at enhancers","Methylation profiling by high throughput sequencing","Homo sapiens",3,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68046/suppl",27153539,SRP057450,"Jessica Charlet","Jun 02, 2016"
GSE68297,"PolyA RNAseq from HCT116 cells in normoxia and hypoxia","Expression profiling by high throughput sequencing","Homo sapiens",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68297/suppl",27320910,SRP057708,"Matthew D Galbraith","Jun 02, 2016"
GSE68853,"Identification of proliferative and mature β-cells in the islet of Langerhans","Expression profiling by array","Mus musculus",5,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68853/suppl",27398620,,"Johannes Beckers","Jun 02, 2016"
