Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE42770,"Chronic alcohol consumption from adolescence-to-adulthood in mice — Effect on gene expression in the hypothalamus","Expression profiling by array","Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42770/suppl",,,"ke wang","Jun 30, 2013"
GSE43165,"Profile of mRNAs associated with Ago (Argonaute) 1 in normoxic and hypoxic endothelial cells","Expression profiling by array","Homo sapiens",2,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43165/suppl",23426184,,"Zhen Chen","Jun 30, 2013"
GSE43279,"MicroRNA profiling of benign and malignant adrenocortical tumors reveals potential biomarkers of recurrence","Non-coding RNA profiling by array","Homo sapiens;Human betaherpesvirus 5;Human gammaherpesvirus 4;Human gammaherpesvirus 8;Human immunodeficiency virus 1;JC polyomavirus;Murid betaherpesvirus 1;Murid gammaherpesvirus 4;Mus musculus;Rattus norvegicus;synthetic construct",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43279/suppl",23756429,,"Nadia Cherradi","Jun 30, 2013"
GSE43818,"Expression data from WT, camta1/2, camta1/3, camta2/3, camta1/2/3 mutants","Expression profiling by array","Arabidopsis thaliana",21,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43818/suppl",23581962,,"Sunchung Park","Jun 30, 2013"
GSE43819,"Expression data from WT, sid2-1","Expression profiling by array","Arabidopsis thaliana",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43819/suppl",23581962,,"Sunchung Park","Jun 30, 2013"
GSE43894,"Expression analysis of 3T3 cells that express Arabidopsis-derived Diaminopimelate Decarboxylase (DDC) in response to growth on meso-2,6-diaminopimelic acid (DAP) versus L-Lysine","Expression profiling by array","Mus musculus",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43894/suppl",23817070,,"Nicholas Gauthier","Jun 30, 2013"
GSE43895,"Expression analysis of MDA-MD-231 cells that express lysine racemase (lyr) when grown on D-Lysine versus L-Lysine","Expression profiling by array","Homo sapiens",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43895/suppl",23817070,,"Nicholas Gauthier","Jun 30, 2013"
GSE44753,"Anti-proliferative effects of continued mitogen activated protein kinase pathway inhibition following acquired resistance to BRAF and/or MEK inhibition in melanoma: Implications for treatment beyond disease progression","Expression profiling by array","Homo sapiens",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44753/suppl",23645591,,"Gulietta Pupo","Jun 30, 2013"
GSE45709,"The molecular basis of the renal and vascular consequences of Uremia","Expression profiling by array","Homo sapiens",40,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45709/suppl",,,"Jiri Zavadil","Jun 30, 2013"
GSE46245,"Comparing gene expression in CD5+CD1dhigh and CD5-CD1dhigh B cells","Expression profiling by array","Mus musculus",2,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46245/suppl",,,"Matthew Klinker","Jun 30, 2013"
GSE46319,"Vitamin C induces Tet-dependent DNA demethylation in ES cells to promote a blastocyst-like methylome [Affymetrix]","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46319/suppl",23812591,,"Martin Hirst","Jun 30, 2013"
GSE46402,"Vitamin C induces Tet-dependent DNA demethylation in ES cells to promote a blastocyst-like methylome [MeDIP-Seq]","Methylation profiling by high throughput sequencing","Mus musculus",8,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46402/suppl",23812591,SRP021527,"Martin Hirst","Jun 30, 2013"
GSE46403,"Vitamin C induces Tet-dependent DNA demethylation in ES cells to promote a blastocyst-like methylome","Expression profiling by array;Methylation profiling by high throughput sequencing","Mus musculus",14,,"CEL;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46403/suppl",23812591,,"Martin Hirst","Jun 30, 2013"
GSE46717,"Enhanced upregulation of CRH mRNA expression in the rat nucleus accumbens after a delayed second injection of methamphetamine","Expression profiling by array","Rattus norvegicus",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46717/suppl",,,"Jean Lud Cadet","Jun 30, 2013"
GSE46896,"Developmentally regulated lncRNAs expression in male germline","Expression profiling by array;Non-coding RNA profiling by array","Mus musculus",18,,"XLS","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46896/suppl",24048575,,"Nicole Ortogero","Jun 30, 2013"
GSE47350,"Runx1/Cbfb deficiency effect on MLL-AF9 cells","Expression profiling by array","Mus musculus",8,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47350/suppl",23979164,,"Susumu Goyama","Jun 30, 2013"
GSE47368,"The expression profile of SLC transporter genes in resectable pancreatic cancer","Expression profiling by RT-PCR","Homo sapiens",59,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47368/suppl",23934321,,"Pavel Soucek","Jun 30, 2013"
GSE47402,"Runx1 deficiency effect on MLL-ENL cells","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47402/suppl",23979164,,"Susumu Goyama","Jun 30, 2013"
