Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE100864,"SETDB1 prevents TET2-dependent activation of IAP retroelements in naïve embryonic stem cells","Expression profiling by high throughput sequencing","Mus musculus",24,,,,29351814,,"Miguel R Branco","Sep 25, 2017"
GSE101397,"Rapid chromatin switch in the direct reprogramming of fibroblasts to neurons","Genome binding/occupancy profiling by high throughput sequencing;Third-party reanalysis","Mus musculus",41,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101397/suppl",28954238,SRP111819,"Qian Yi Lee","Sep 25, 2017"
GSE102227,"RNA-seq profiling of thymic epithelial cells from Mcl1 knockout and wildtype mice","Expression profiling by high throughput sequencing","Mus musculus",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102227/suppl",28972012,SRP114775,"Gordon K Smyth","Sep 25, 2017"
GSE102851,"Characterization of distinct states of human naive pluripotency","Methylation profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102851/suppl",,SRP115893,"Ethan Edward Ford","Sep 25, 2017"
GSE104122,"IMM_IL-17RC_KO mice_exp1","Expression profiling by array","Mus musculus",36,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104122/suppl",29070673,,"Junjie Zhao","Sep 25, 2017"
GSE84054,"Transcriptome profiling of ER+ breast cancer primary tumor and its tumorsphere derivative","Expression profiling by high throughput sequencing","Homo sapiens",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84054/suppl",28967919,SRP077930,"Gokce OGUZ","Sep 24, 2017"
GSE86392,"Genome-wide Transcriptome Analysis of Hippocampus, Frontal cortex and Pituitary gland in Rats Elucidated the Pathogenisis  of  Depressive Disorder Induced by Chronic Restraint","Expression profiling by high throughput sequencing","Rattus norvegicus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86392/suppl",28780410,SRP084288,"dong chen","Sep 24, 2017"
GSE87608,"Next-Generation Sequencing Supports Quantitative Analysis of Wild Type and Runx2+/- Calvarial Transcriptomes With or Without Administration of MS-275","Expression profiling by high throughput sequencing","Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87608/suppl",28052439,SRP090822,"Han-sol Bae","Sep 24, 2017"
GSE90814,"Exon array data for patient-matched primary and metastatic colorectal samples","Expression profiling by array","Homo sapiens",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90814/suppl",28625833,,"Oliver Sieber","Sep 24, 2017"
GSE93796,"mRNA-Seq of the CA1 hippocampal subregion from 3 month old animals injected with JQ1 (50mg/kg) i.p. and mRNA-Seq of CA1 of 8-10 month old APP/PS1-21 transgenic animals injected with JQ1 (50mg/kg) i.p.","Expression profiling by high throughput sequencing","Mus musculus",33,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93796/suppl",,SRP096977,"Eva Benito Garagorri","Sep 24, 2017"
