Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE63329,"FSTL1 promotes cancer cell invasion through pro-invasive and pro-inflammatory pathways","Expression profiling by array","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63329/suppl",28827448,,"Prabha Sampath","Aug 09, 2017"
GSE84686,"Innate to adaptive: Human IFN-gamma producing CD4+ T cells can derive directly from CXCL8-producing recent thymic emigrants.","Expression profiling by high throughput sequencing","Homo sapiens",96,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84686/suppl",28754679,SRP079213,"Deena L. Gibbons","Aug 09, 2017"
GSE85474,"RNA-dependent RNA polymerase sequence specificities of capsnatching viruses are tailored to aid viral replication","Other;Expression profiling by high throughput sequencing","Homo sapiens",51,,"TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85474/suppl",,SRP082170,"Romain Fenouil","Aug 09, 2017"
GSE90574,"A lncRNA fine tunes the dynamics of a cell state transition involving Lin28, let-7 and de novo DNA methylation","Expression profiling by high throughput sequencing;Other","Mus musculus",19,,"BED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90574/suppl",28820723,SRP093994,"Samuel Robson","Aug 09, 2017"
GSE94758,"Transcriptional profiling of lung tumour cell lines with distinct p53 mutations in the absence or presence of WT p53","Expression profiling by array","Mus musculus",72,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94758/suppl",,,"Emma Kerr","Aug 09, 2017"
GSE98866,"Gene expression changes upon drug withdrawal (A375/451Lu cell lines)","Expression profiling by high throughput sequencing","Homo sapiens",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98866/suppl",28976960,SRP107042,"Oscar Krijgsman","Aug 09, 2017"
GSE98867,"Gene expression changes upon drug withdrawal (Mel888 cell line)","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98867/suppl",28976960,SRP107043,"Oscar Krijgsman","Aug 09, 2017"
GSE98868,"Gene expression changes upon drug withdrawal","Expression profiling by high throughput sequencing","Homo sapiens",28,,,,28976960,,"Oscar Krijgsman","Aug 09, 2017"
GSE100233,"Permissive zones for the centromere-binding protein ParB on the Caulobacter crescentus chromosome","Genome binding/occupancy profiling by high throughput sequencing;Other","Caulobacter vibrioides;Escherichia coli",30,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100233/suppl",29186514,SRP109788,"TUNG BA KHANH LE","Aug 09, 2017"
GSE100878,"Gene expression profile in breast cancer cell lines using RNA sequencing","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100878/suppl",,SRP111199,"Seong-Jin Kim","Aug 09, 2017"
GSE102332,"Aldosterone-Sensing Neurons in the NTS Exhibit State-Dependent Pacemaker Activity and Drive Sodium Appetite via Synergy with Angiotensin II Signaling.","Expression profiling by high throughput sequencing","Mus musculus",65,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102332/suppl",,SRP114977,"John N Campbell","Aug 09, 2017"
GSE102349,"Genomic Analysis of Nasopharyngeal Carcinoma Reveals TME-based Subtypes","Expression profiling by high throughput sequencing","Homo sapiens",113,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102349/suppl",28851814,SRP115011,"Kenzie MacIsaac","Aug 09, 2017"
GSE102361,"Genome-wide analysis of SRm160 18603 mutat larvae","Expression profiling by high throughput sequencing","Drosophila melanogaster",6,,"XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102361/suppl",,SRP115031,"Marcelo Yanovsky","Aug 09, 2017"
GSE102363,"Transcriptome profiling of ozone responses of Arabidopsis thaliana natural accessions Col-0 and Cvi-0, and a near-isogenig line Col-S with Cvi-0's ozone sensitivity introgressed into Col-0","Expression profiling by high throughput sequencing","Arabidopsis thaliana",18,,"TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102363/suppl",,SRP115032,"Mikael Brosché","Aug 09, 2017"
GSE102364,"RNA Sequencing of Novel HIV RNA TAR-gag","Expression profiling by high throughput sequencing","Homo sapiens",6,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102364/suppl",28536264,SRP115033,"Fatah Kashanchi","Aug 09, 2017"
GSE102379,"Genome-wide analysis of gene expression by E2F3 L430Q knock-in mutation in MEF cells in normal proliferation and serum starvation conditions","Expression profiling by array","Mus musculus",8,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102379/suppl",28979847,,"Yang Liao","Aug 09, 2017"
GSE60587,"Impact of Tcf1 and Lef1 deficiency on HSCs","Expression profiling by high throughput sequencing","Mus musculus",4,,"BEDGRAPH;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60587/suppl",28844837,SRP045665,"Hai-Hui Xue","Aug 08, 2017"
GSE71825,"Epigenetic mechanisms regulate FOXP1 expression in CD4+ T cells","Methylation profiling by genome tiling array","Homo sapiens",12,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71825/suppl",27861791,,"Martin Bizet","Aug 08, 2017"
GSE73731,"Clear cell renal cell carcinoma (ccRCC) samples","Expression profiling by array","Homo sapiens",265,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73731/suppl",28779136,,"Min Han Tan","Aug 08, 2017"
GSE85849,"Developmentally regulated higher-order chromatin interactions orchestrate B cell fate commitment [microarray]","Expression profiling by array","Mus musculus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85849/suppl",28977418,,"Jagan Pongubala","Aug 08, 2017"
GSE85850,"Developmentally regulated higher-order chromatin interactions orchestrate B cell fate commitment [Hi-C]","Other","Mus musculus",4,,,,28977418,SRP082420,"Jagan Pongubala","Aug 08, 2017"
GSE85858,"Developmentally regulated higher-order chromatin interactions orchestrate B cell fate commitment","Expression profiling by array;Other","Mus musculus",16,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85858/suppl",28977418,,"Jagan Pongubala","Aug 08, 2017"
GSE87441,"The transcription factor Sp3 cooperates with HDAC2 to regulate synaptic function and plasticity in neurons","Expression profiling by high throughput sequencing","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87441/suppl",28793257,SRP090566,"Li-Huei Tsai","Aug 08, 2017"
GSE89003,"Drosophila Cbp80 is needed for the expression of piRNA components and piRNAs","Expression profiling by high throughput sequencing","Drosophila melanogaster",2,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89003/suppl",28746365,SRP091881,"Rémy Bruggmann","Aug 08, 2017"
GSE93735,"Anti-inflammatory Chromatinscape Associated with Clinically Relevant Timing of Glucocorticoid Treatment [RNA-Seq]","Expression profiling by high throughput sequencing","Mus musculus",14,,"FPKM_TRACKING","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93735/suppl",28801231,SRP096909,"Songjoon Baek","Aug 08, 2017"
GSE93736,"Anti-inflammatory Chromatinscape Associated with Clinically Relevant Timing of Glucocorticoid Treatment [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",10,,"BEDGRAPH;CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93736/suppl",28801231,SRP096910,"Songjoon Baek","Aug 08, 2017"
GSE93738,"Anti-inflammatory Chromatinscape Associated with Clinically Relevant Timing of Glucocorticoid Treatment [DNase-seq]","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",6,,"BEDGRAPH;CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93738/suppl",28801231,SRP096912,"Songjoon Baek","Aug 08, 2017"
