Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE63499,"DNA Methylation Changes in Whole Blood and CD16+ Neutrophils in Response to Chronic Folic Acid Supplementation in Women of Childbearing Age","Methylation profiling by genome tiling array","Homo sapiens",60,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63499/suppl",,,"Varun Kilaru","Nov 21, 2014"
GSE63501,"Dysregulation of microRNAs in neurodegeneration","Non-coding RNA profiling by high throughput sequencing","Homo sapiens",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63501/suppl",25574843,SRP050084,"Ismael Santa Maria","Nov 21, 2014"
GSE63502,"Functional analysis of the uropathogenic Escherichia coli R049 gene","Expression profiling by array","Mus musculus",10,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63502/suppl",,,"Dongjing Yang","Nov 21, 2014"
GSE63512,"Transcriptome Comparison of Cabernet Sauvignon Grape Berries from Two Regions with Distinct Climate","Expression profiling by high throughput sequencing","Vitis vinifera",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63512/suppl",25765362,SRP050088,"Chang-Qing Duan","Nov 21, 2014"
GSE63522,"Uncapped mRNAs during heat stress","Expression profiling by array","Arabidopsis thaliana",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63522/suppl",25736060;26484210,,"Emilio Gutierrez Beltran","Nov 21, 2014"
GSE63541,"Adventitial tertiary lymphoid organs in AAA are a potential source of miRNAs as biomarkers","Non-coding RNA profiling by array","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63541/suppl",25993295,,"David Hot","Nov 21, 2014"
GSE63561,"Prenatal alcohol exposure alters steady-state and activated gene expression in the adult rat brain","Expression profiling by array","Rattus norvegicus",192,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63561/suppl",25684047,,"Michael S. Kobor","Nov 21, 2014"
GSE41974,"Transcriptome analysis in mouse early round spermatids deficient in pachytene piRNAs (Miwi+/- and -/-)","Expression profiling by high throughput sequencing","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41974/suppl",25480952,SRP016946,"Toshiaki Watanabe","Nov 20, 2014"
GSE41976,"Transcriptome analysis during mouse spermatogenic cell development","Expression profiling by high throughput sequencing","Mus musculus",5,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41976/suppl",25480952,SRP016948,"Toshiaki Watanabe","Nov 20, 2014"
GSE41977,"piRNA analysis in Stambp-ps1 mutant mouse testes","Non-coding RNA profiling by high throughput sequencing","Mus musculus",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41977/suppl",25480952,SRP016949,"Toshiaki Watanabe","Nov 20, 2014"
GSE41979,"Transcriptome analysis during mouse testis development","Expression profiling by high throughput sequencing","Mus musculus",7,,"CSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41979/suppl",25480952,SRP016950,"Toshiaki Watanabe","Nov 20, 2014"
