Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE51978,"Gene expression profiling in neuroblastoma cells upon CHAF1A silencing","Expression profiling by array","Homo sapiens",9,GDS5359,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51978/suppl",24335960,,"Eveline Barbieri","Nov 01, 2013"
GSE51982,"Snyder_lin-35_n745_EFL-1_Ab_L1","Genome binding/occupancy profiling by high throughput sequencing","Caenorhabditis elegans",4,,"BEDGRAPH;GFF3","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51982/suppl",,SRP007859,"DCC modENCODE","Nov 01, 2013"
GSE51983,"Snyder_Pmex-5_HPL-2_YL472_yAd","Genome binding/occupancy profiling by high throughput sequencing","Caenorhabditis elegans",4,,"BEDGRAPH;GFF3","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51983/suppl",,,"DCC modENCODE","Nov 01, 2013"
GSE51986,"Solexa.BEAF-HB.14-16 hr OR embryo","Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster",4,,"GFF3","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51986/suppl",,,"DCC modENCODE","Nov 01, 2013"
GSE51987,"JMJD2A-KDM4A_Q2541.D.mel 3rd Instar Larvae Nuclei.Solexa","Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster",4,,"GFF3","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51987/suppl",,,"DCC modENCODE","Nov 01, 2013"
GSE51988,"POF (MO 459).D.mel 3rd Instar Larvae Nuclei.Solexa","Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster",4,,"GFF3","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51988/suppl",,,"DCC modENCODE","Nov 01, 2013"
GSE51989,"Smc3_Q2580.D.mel 3rd Instar Larvae Nuclei.Solexa","Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster",4,,"GFF3","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51989/suppl",,,"DCC modENCODE","Nov 01, 2013"
GSE51990,"H2AV_9751.S2.H2AV_RNAi.Solexa","Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster",4,,"GFF3","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51990/suppl",,,"DCC modENCODE","Nov 01, 2013"
GSE51991,"H2AV_9751.S2.GFP.RNAi.Solexa","Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster",4,,"GFF3","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51991/suppl",,,"DCC modENCODE","Nov 01, 2013"
GSE51992,"H3K36me2_W.BG3.Solexa","Genome binding/occupancy profiling by high throughput sequencing","Drosophila melanogaster",4,,"GFF3","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51992/suppl",,SRP005957,"DCC modENCODE","Nov 01, 2013"
GSE52010,"Microarray analysis of miRNAs involved in Porcine Alveolar Macrophages at the early stage of porcine reproductive and respiratory syndrome virus infection [LCS_miRPig_18]","Non-coding RNA profiling by array","Sus scrofa",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52010/suppl",,,"Li Dengyun","Nov 01, 2013"
