Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE33968,"Gene expression analysis of hemizygous or heterozygous KIT exon 11 deletions NIH3T3 infected cells","Expression profiling by array","Mus musculus",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33968/suppl",23593401,,"Séverine TABONE-EGLINGER","Jan 01, 2012"
GSE33986,"Retrotransposon Ty1 integration targets specifically positioned asymmetric nucleosomal DNA segments in tRNA hotspots","Other","Saccharomyces cerevisiae",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33986/suppl",22219510,SRP009462,"Sarah Wheelan","Jan 01, 2012"
GSE34142,"Real-time quantitative PCR analysis of 88 microRNAs involved in human cell differentiation and development  in systemic sclerosis (SSc) dermal fibroblasts","Expression profiling by RT-PCR","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34142/suppl",22403442,,"Taiji Naashima","Jan 01, 2012"
GSE34196,"Small RNA deep-sequencing identifies microRNAs and other small non-coding RNAs from human herpesvirus 6 (HHV-6B)","Non-coding RNA profiling by high throughput sequencing","Human betaherpesvirus 6B",2,,"BED;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34196/suppl",22114334,SRP009640,"Sébastien Pfeffer","Jan 01, 2012"
GSE34282,"Effects of Mysm1 deficiency on gene expression across a range of mouse tissues and cell types (tissue data)","Expression profiling by array","Mus musculus",27,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34282/suppl",22184403,,"Anastasia Nijnik","Jan 01, 2012"
GSE34284,"Effects of Mysm1 deficiency on gene expression across a range of mouse tissues and cell types (cell data)","Expression profiling by array","Mus musculus",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34284/suppl",22184403,,"Anastasia Nijnik","Jan 01, 2012"
GSE34285,"Effects of Mysm1 deficiency on gene expression across a range of mouse tissues and cell types","Expression profiling by array","Mus musculus",47,,,,22184403,,"Anastasia Nijnik","Jan 01, 2012"
GSE34492,"Cytosolic flagellin receptor NLRC4 protects mice against mucosal and systemic challenges","Expression profiling by array","Mus musculus",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34492/suppl",22318495,,"Gregory Doho","Jan 01, 2012"
GSE34528,"Suppression of Progenitor Differentiation Requires the Long Non-Coding RNA ANCR [HG-U133_Plus_2]","Expression profiling by array","Homo sapiens",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34528/suppl",22302877,,"Kun Qu","Jan 01, 2012"
GSE34596,"ChIP-on-chip analysis of H3K27me3 levels in leaves and calli","Genome binding/occupancy profiling by genome tiling array","Arabidopsis thaliana",2,,"BAR;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34596/suppl",22927830,,"Lin XU","Jan 01, 2012"
GSE34715,"Gene expression profiling after induction of WTX in HEK293 cells","Expression profiling by array","Homo sapiens",4,GDS4802,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34715/suppl",22285752,,"Woo Jae Kim","Jan 01, 2012"
