Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE32251,"Prognostic DNA Methylation Patterns in Cytogenetically Normal Acute Myeloid Leukemia are predefined by Stem Cell Chromatin Marks [methylation]","Methylation profiling by array","Homo sapiens",89,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32251/suppl",21960591,,"Stefan Deneberg","Sep 21, 2011"
GSE32252,"Prognostic DNA Methylation Patterns in CN-AML; a genome wide methylation and gene expression study","Methylation profiling by array;Expression profiling by array","Homo sapiens",99,,,,21960591,,"Stefan Deneberg","Sep 21, 2011"
GSE13561,"Transcriptional Control by the FATC Domain of Saccharomyces cerevisiae Tra1","Expression profiling by array","Saccharomyces cerevisiae",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13561/suppl",20635087,,"Christopher Brandl","Sep 20, 2011"
GSE16179,"BT474 and BT474-J4 microarray data","Expression profiling by array","Homo sapiens",18,GDS4083,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16179/suppl",19671800,,"Yuan Liu","Sep 20, 2011"
GSE22929,"EWS siRNA knock-down in HeLa cell line","Expression profiling by array","Homo sapiens",6,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22929/suppl",21816343,,"BELEN MINANA","Sep 20, 2011"
GSE22946,"Transcriptome analysis of mouse cerebral cortical neural progenitor cells","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22946/suppl",21805534,,"Xiwei Wu","Sep 20, 2011"
GSE23007,"In-Vivo Expression Profiling of Pseudomonas aeruginosa Infections Reveals Niche-Specific and Strain-Independent Transcriptional Programs","Expression profiling by array","Pseudomonas aeruginosa",30,GDS4479,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23007/suppl",21931663,,"Piotr Bielecki","Sep 20, 2011"
GSE24232,"Human glioma cells treated with irradiation and/or CCI-779","Expression profiling by array","Homo sapiens",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24232/suppl",,,"Jan Gronych","Sep 20, 2011"
GSE24262,"PA14_mexR vs. wildtype planktonic cells in minimal medium with C-30","Expression profiling by array","Pseudomonas aeruginosa;Pseudomonas aeruginosa PA14",2,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24262/suppl",,,"Mingming Pu","Sep 20, 2011"
GSE24347,"Gene expression profiles of mouse liver tissue harboring deletion of RB and/or p53, untreated or post-hepatocarcinogen treatment","Expression profiling by array;Genome variation profiling by genome tiling array","Mus musculus",32,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24347/suppl",21704587,,"Adam Ertel","Sep 20, 2011"
GSE24547,"Transcriptional pathway signatures for the Aurora inhibitor Danusertib","Expression profiling by array","Homo sapiens",20,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24547/suppl",21914463,,"Roberta Bosotti","Sep 20, 2011"
GSE27656,"Either Kras activation or Pten loss similarly enhance the dominant-stable CTNNB1-induced genetic program to promote granulosa cell tumor development in ovary and testis","Expression profiling by array","Mus musculus",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27656/suppl",21860425,,"JoAnne Richards","Sep 20, 2011"
GSE28074,"A time series study on BMP6 induced osteoblast differentiation of human mesenchymal stem cells (hMSC)","Expression profiling by array","Homo sapiens",26,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28074/suppl",21605425,,"Weijun Luo","Sep 20, 2011"
GSE29846,"Genomic profiles of mouse liver tissue harboring deletion of RB and/or p53, untreated or post-hepatocarcinogen treatment [expression data]","Expression profiling by array","Mus musculus",25,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29846/suppl",21704587,,"Adam Ertel","Sep 20, 2011"
GSE29847,"Genomic profiles of mouse liver tissue harboring deletion of RB and/or p53, untreated or post-hepatocarcinogen treatment [CGH data]","Genome variation profiling by genome tiling array","Mus musculus",7,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29847/suppl",21704587,,"Adam Ertel","Sep 20, 2011"
GSE29911,"Plasma miRNA profile as a predictor for early virological response of  interferon treatment in chronic hepatitis B patients","Non-coding RNA profiling by array","Homo sapiens",107,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29911/suppl",22997154,,"xiaonan zhang","Sep 20, 2011"
GSE30355,"Human keratinocytes have a response to injury that upregulates CCL20 and other genes linking innate and adaptive immunity","Expression profiling by array","Homo sapiens",30,GDS4608,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30355/suppl",21881590,,"Mayte Suarez-Farinas","Sep 20, 2011"
GSE31724,"ENCODE SUNY RNA Binding Protein GeneST Data for various cell lines","Expression profiling by array","Homo sapiens",72,,"BROADPEAK;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31724/suppl",,,"Frank Doyle","Sep 20, 2011"
GSE31864,"Epigenome profiling of repressive histone modifications, DNA methylation and gene expression in normal and malignant urothelial cells","Expression profiling by array","Homo sapiens",3,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31864/suppl",22412920,,"Ewa Dudziec","Sep 20, 2011"
GSE31865,"Global methylation in normal and malignant urothelial cells","Methylation profiling by genome tiling array","Homo sapiens",6,,"TAR;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31865/suppl",22412920,,"Ewa Dudziec","Sep 20, 2011"
GSE31866,"Integrated epigenome profiling of DNA methylation and gene expression in normal and malignant urothelial cells","Expression profiling by array;Methylation profiling by genome tiling array","Homo sapiens",9,,"CEL;TAR;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31866/suppl",22412920,,"Ewa Dudziec","Sep 20, 2011"
GSE31904,"mRNA expression profiling in nine human tissues","Expression profiling by array","Homo sapiens",20,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31904/suppl",23209027,,"Robert Ach","Sep 20, 2011"
GSE32179,"Early postmortem gene expression and its relationship to composition and quality traits in pig Longissimus dorsi muscle","Expression profiling by array","Sus scrofa",59,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32179/suppl",22665633,,"angela canovas","Sep 20, 2011"
GSE32205,"Analysis the Ability of Producing Secondary Metabolites of Streptomyces bingchenggensis By The Genome Sequence and GeneChip DNA microarrays","Expression profiling by array","Streptomyces bingchenggensis;Streptomyces bingchenggensis BCW-1",16,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32205/suppl",24299107,,"zhang bo","Sep 20, 2011"
GSE32212,"Vibrio vulnificus: Wild-type vs. smcR mutant (V. vulnificus quorum sensing master regulator)","Expression profiling by array","Vibrio vulnificus",6,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32212/suppl",,,"Seung Min Kim","Sep 20, 2011"
GSE32218,"Histone Modifications by ChIP-seq from ENCODE/Stanford/Yale","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",22,,"BIGWIG;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32218/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA63471",,SRP008276,"ENCODE DCC","Sep 20, 2011"
GSE32256,"Gene expression in a paleopolyploid: a transcriptome resource for the ciliate Paramecium tetraurelia","Expression profiling by array;Expression profiling by genome tiling array","Paramecium tetraurelia",58,,"PAIR;TAB;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32256/suppl",20932287;21216825,,"Jean-François Gout","Sep 20, 2011"
GSE14034,"Alterations in Gene Expression in Human Mesothelial Cells Correlate with Mineral Pathogenicity","Expression profiling by array","Homo sapiens",57,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14034/suppl",19097984,,"Jeffrey P Bond","Sep 19, 2011"
GSE15360,"Gene expression analysis of dendritic cells treated with small chemical compounds","Expression profiling by array","Mus musculus",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15360/suppl",19401559,,"Hironori Matsushima","Sep 19, 2011"
GSE22086,"Expression data from quadriceps muscle of WT and ERRgamma transgenic mice","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22086/suppl",21356518,,"Ruth T Yu","Sep 19, 2011"
GSE29449,"Global gene expression response to BET inhibition in two cancer cell lines","Expression profiling by array","Homo sapiens",20,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29449/suppl",21949397,,"Barbara M Bryant","Sep 19, 2011"
GSE31716,"ENCODE SUNY RNA Binding Protein GeneST Data for GM12878","Expression profiling by array","Homo sapiens",21,,"BROADPEAK;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31716/suppl",,,"Frank Doyle","Sep 19, 2011"
GSE31717,"ENCODE SUNY RNA Binding Protein GeneST Data for K562","Expression profiling by array","Homo sapiens",18,,"BROADPEAK;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31717/suppl",,,"Frank Doyle","Sep 19, 2011"
