Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE70436,"Ground state of pluripotency cannot be maintained in mouse embryonic stem cells upon prolonged inhibition of GSK3","Expression profiling by high throughput sequencing","Mus musculus",10,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70436/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA288679",,SRP060226,"Luca Cozzuto","Mar 03, 2019"
GSE109438,"The epigenome and glucocorticoid receptor binding of human monocytes and monocyte-derived macrophages with or without glucocorticoid treatment","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",32,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109438/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA430885",,SRP131051,"Cheng Wang","Mar 03, 2019"
GSE109439,"Transcriptomes of human monocytes and monocyte-derived macrophages with or without glucocorticoid treatment","Expression profiling by high throughput sequencing","Homo sapiens",16,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109439/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA430886",,SRP131052,"Cheng Wang","Mar 03, 2019"
GSE109440,"Extensive epigenomic integration of the glucocorticoid response in primary human monocytes and in vitro derived macrophages","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",72,,"BEDGRAPH;BW;TAB;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109440/suppl",30809020,,"Cheng Wang","Mar 03, 2019"
GSE110594,"Ets1 modulates epigentic landscape of key TFH genes in T naïve cells","Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",4,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110594/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA434078",30566881,SRP132852,"Chan Johng Kim","Mar 03, 2019"
GSE110595,"Upregulation of TFH profile in absence of Ets1 expression","Expression profiling by high throughput sequencing","Mus musculus",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110595/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA434077",30566881,SRP132854,"Chan Johng Kim","Mar 03, 2019"
GSE110647,"Ets1 suppresses the expression of key TFH genes to block TFH differentiation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",16,,"BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110647/suppl",30566881,,"Chan Johng Kim","Mar 03, 2019"
GSE111390,"Oncogenic drivers in 11q13 associated with prognosis in advanced oropharyngeal carcinomas (Expression data set)","Expression profiling by array","Homo sapiens",33,,,,,,"mateus camargo barros filho","Mar 03, 2019"
GSE111393,"Oncogenic drivers in 11q13 associated with prognosis in advanced oropharyngeal carcinomas (aCGH data set)","Genome variation profiling by genome tiling array","Homo sapiens",33,,,,,,"mateus camargo barros filho","Mar 03, 2019"
GSE111395,"Oncogenic drivers in 11q13 associated with prognosis in advanced oropharyngeal carcinomas","Expression profiling by array;Genome variation profiling by genome tiling array","Homo sapiens",66,,,,,,"mateus camargo barros filho","Mar 03, 2019"
