Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE49451,"Klf4 is a transcriptional regulator of genes critical for EMT, including Jnk1 (Mapk8).","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",10,,"CEL;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49451/suppl",23451207,,"Neha Tiwari","Aug 01, 2013"
GSE49461,"Development of gene expression signatures for LGR5hi and LGR5lo ISCs in response to gamma-irradiation","Expression profiling by array","Mus musculus",17,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49461/suppl",25609789,,"Hans A Kestler","Aug 01, 2013"
GSE49468,"EDL933 cultured in bovine small intestine content (BSIC) vs M9 minimal media","Expression profiling by array","Escherichia coli",4,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49468/suppl",,,"Yolande BERTIN","Aug 01, 2013"
GSE16764,"Comparative microarray analyses between the rat superior olivary complex and the brain","Expression profiling by array","Rattus norvegicus",28,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16764/suppl",23893414,,"Hans Gerd Nothwang","Jul 31, 2013"
GSE25493,"Expression of PTTG1 is associated with aggressive clear cell renal carcinoma","Expression profiling by array","Homo sapiens",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25493/suppl",22805307,,"Karl Dykema","Jul 31, 2013"
GSE26078,"Global transcriptomic response of serum-resistant Neisseria meningitidis","Expression profiling by array","Neisseria meningitidis;Neisseria meningitidis MC58",9,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26078/suppl",,,"Bachra Rokbi","Jul 31, 2013"
GSE30669,"PDK1 Signaling Towards PLK1-Myc Activation Confers Oncogenic Transformation and Tumor Initiating Cell Activation and Resistance to mTOR-targeted Therapy.","Expression profiling by array","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30669/suppl",23887393,,"Peiyong Guan","Jul 31, 2013"
GSE31685,"The influence of resveratrol on rheumatoid fibroblast-like synoviocytes based on a gene chip transcription analysis","Expression profiling by array","Homo sapiens",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31685/suppl",,,"margherita breisach","Jul 31, 2013"
GSE33224,"Protein coding gene expression profile of dasatinib-treated chronic myeloid leukemia patients with resistance to imatinib","Expression profiling by array","Homo sapiens",28,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33224/suppl",23676950,,"Angela A. Fachel","Jul 31, 2013"
GSE33288,"Noncoding RNA expression profile of dasatinib-treated chronic myeloid leukemia patients with resistance to imatinib","Expression profiling by array;Non-coding RNA profiling by array","Homo sapiens",26,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33288/suppl",23676950,,"Angela A. Fachel","Jul 31, 2013"
GSE33290,"Gene expression signatures of dasatinib-treated chronic myeloid leukemia patients with resistance to imatinib","Expression profiling by array;Non-coding RNA profiling by array","Homo sapiens",54,,,,23676950,,"Angela A. Fachel","Jul 31, 2013"
GSE34003,"Time course expression study in the rat superior olivary complex","Expression profiling by array","Rattus norvegicus",36,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34003/suppl",23893414,,"Hans Gerd Nothwang","Jul 31, 2013"
GSE36470,"Rat superior olivary complex","Expression profiling by array","Rattus norvegicus",42,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36470/suppl",23893414,,"Hans Gerd Nothwang","Jul 31, 2013"
GSE37694,"Genome-wide expression profiling of PpABI1 disruptants","Expression profiling by array","Physcomitrella patens",26,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37694/suppl",23900426,,"Kenji KOMATSU","Jul 31, 2013"
GSE39350,"Gene expression profiles of non-genotoxic hepatocarcinogens and hepatotoxicants in rat liver","Expression profiling by array","Rattus norvegicus",38,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39350/suppl",,,"Sophie Ludwig","Jul 31, 2013"
